title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,LLM_Decision,LLM_Exclusion_Criterion,LLM_Justification
Mining and checking web services behavior,"Wan, Xiaomin and Mao, Xiaoguang and Dai, Ziying",,2012,IEEE Digital Library,1004-1009,,"As an emerging paradigm for architecting, service-oriented computing plays a more and more important role in information technology. To ensure that web services are working according with the expectation, the research in service behavior about interactions between services is crucial to guarantee no deviation from specification. To detect these deviations, we propose a method to mine and check web service behavior. The method attempts to apply process mining to interactions between services in order to narrow the gap between service consumers and providers. By observing executions of services, we present three levels of abstraction on service behavior: internal behavior, external behavior and workflow behavior. Then we outline the approach to extract behavioral model that provides specification to the activity of service checking. Finally the framework of service behavior checking is presented.",,10.1109/INDIN.2012.6301239,,,,Data mining;Customer services;Simple object access protocol;Automata;Computational modeling;web service mining;conformance checking;web services;behavioral model,,2378-363X,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Continuous Conformance of Software Architectures,"Bucaioni, Alessio and Di Salle, Amleto and Iovino, Ludovico and Mariani, Leonardo and Pelliccione, Patrizio",,2024,IEEE Digital Library,112-122,,"Software architectures are pivotal in the success of software-intensive systems and serve as foundational elements that significantly impact the overall software quality. Reference architectures abstract software elements, define main responsibilities and interactions within a domain, and guide the architectural design of new systems. Using reference architectures offers advantages like enhanced interoperability, cost reduction through reusability, decreased project risks, improved communication, and adherence to best practices. However, these benefits are most pronounced when software architectures align with reference architectures. Deviations from prescribed reference architectures can nullify these benefits. Uncontrolled misalignment can become prohibitively expensive, necessitating costly redevelopments, with maintenance costs reaching up to 90% of development costs. Conformance-checking processes and identifying and resolving violations in the software architecture are essential to mitigate misalignment. To address these challenges, we introduce the concept of continuous conformance that is expressed as a distance function, together with a process supporting it. Continuous conformance quantifies the degree to which a software architecture adheres to a designated reference architecture. The conformance concept enables multi-level, incremental, and non-blocking checking and restoration tasks and allows the check of partial architectures without obstructing the design process. We operationalize this process through an assistive modeling tool to architect an Internet of things-based system.",,10.1109/ICSA59870.2024.00019,,,,Costs;Software architecture;Computer architecture;Software quality;Maintenance;Internet;Task analysis;Reference architecture;conformance;modeling assistant,,2835-7043,,,UNCLASSIFIED,,
Unifying Compliance Management in Adaptive Environments through Variability Descriptors (Short Paper),"Koetter, Falko and Kochanowski, Monika and Renner, Thomas and Fehling, Christoph and Leymann, Frank",,2013,IEEE Digital Library,214-219,,"When managing IT environments and designing business processes, compliance regulations add challenges. Especially considering adaptive environments in the context of a service-oriented architecture in combination with exploiting the advantages of cloud technologies, maintaining compliance is cumbersome. Measures have to be taken on many application levels - including business processes, IT architecture, and business management. Although a lot of work has been done on various approaches covering compliance on one or more of these levels, in large companies more than one approach is likely to be employed. However, a unified approach for supporting the compliance tasks - like introduction, maintenance, and especially adaptation - on different levels of business and IT is missing. This work introduces this unifying approach, which links compliance requirements to implementing technology using variable compliance descriptors in order to comprehensively support compliance tasks. The advantage of this approach is that the impact of compliance on these different levels is tracked, thus enabling change propagation from changes in compliance requirements to infrastructure and business process reconfiguration.",,10.1109/SOCA.2013.23,,,,Monitoring;Runtime;Companies;Documentation;Computer architecture;Topology;Compliance;BPM;Adaptability;Variability,,2163-2871,,,UNCLASSIFIED,,
Multilevel SLA-based QoS Support in Grids,"Conejero, Javier and Tom's, Luis and Caminero, Blanca and Carrión, Carmen",,2012,IEEE Digital Library,239-246,,"The need of mechanisms to guarantee the Quality of Service (QoS) in Grid environments has empowered the interest on Service Level Agreements (SLAs), which represent the contract established by negotiation between users and service providers that must be accomplished. Consequently, the SLAs contain numerous terms related to the QoS expected. The aim of this paper is to address different QoS levels in Grid environments by using specific metrics on SLAs. These metrics represent the expected QoS by the user for the given service level terms. Hence, a characterization and classification of these terms, making a differentiation of QoS in levels, is needed in order to improve the number of fulfilled agreements. Our proposal is based on a WS-Agreement compliant architecture developed to provide support for SLAs in Grid environments, also providing a framework prepared for new terms and policy definitions. More precisely, the QoS expected by users is clearly defined in three levels. These levels are used to classify the compromise adquired by each SLA (depending on the expectations of the user that submitted it) and deal with the confidence that Grid resources provide. The evaluation on a real Grid testbed shows the efficiency of the proposal.",,10.1109/ISPA.2012.39,,,,Quality of service;Computer architecture;Proposals;Protocols;Measurement;Availability;Service Level Agreements;WS-Agreement;Scheduling in Advance;Reservation;Grids,,2158-9208,,,REJECTED,EC2,The study discusses software architecture in general without addressing conformance or compliance.
Automatic Protocol Conformance Checking of Recursive and Parallel BPEL Systems,"Both, Andreas and Zimmermann, Wolf",,2008,IEEE Digital Library,81-91,,Today model checking of Web Services formulated in BPEL is often reduced by transforming BPEL-processes to Petri nets. These can be model checked using traditional approaches. If recursion is present in the BPEL model this approach hides some possible violations of the wished behaviour. We present an approach which allows the Web Service developer to formulate more properties of the required usage of the Web Service and provide a tool that checks whether these requirements are satisfied in a Web Service based system. We use finite state machines to specify permitted sequences of receivable interactions and call them service protocols. In this paper we will show that it is possible to use BPEL representations and service protocols to check if a sequence of receivable interactions that violates a service protocol can occur. We achieve this result by translating BPEL to Process Algebra Nets (introduced by Mayr ) and applying the approach of Mayr for model checking Process Algebra Nets. Our approach computes counterexamples even for recursive and parallel programs including synchronization.,,10.1109/ECOWS.2008.11,,,,Protocols;Web services;Algebra;Automata;Petri nets;Assembly systems;Yarn;Personal digital assistants;Computer science;Concurrent computing;Web Services;Protocol;Conformance Checking;Verification;BPEL,,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Runtime Monitoring of Web Service Conversations,"Simmonds, Jocelyn and Gan, Yuan and Chechik, Marsha and Nejati, Shiva and O'Farrell, Bill and Litani, Elena and Waterhouse, Julie",IEEE Transactions on Services Computing,2009,IEEE Digital Library,223-244,2,"For a system of distributed processes, correctness can be ensured by (statically) checking whether their composition satisfies properties of interest. However, Web services are distributed processes that dynamically discover properties of other Web services. Since the overall system may not be available statically and since each business process is supposed to be relatively simple, we propose to use runtime monitoring of conversations between partners as a means of checking behavioral correctness of the entire Web service system. Specifically, we identify a subset of UML 2.0 Sequence Diagrams as a property specification language and show that it is sufficiently expressive for capturing safety and liveness properties. By transforming these diagrams to automata, we enable conformance checking of finite execution traces against the specification. We show how our language can be used to specify the Specification Property System (SPS) [1]. We describe an implementation of our approach as part of an industrial system. Finally, we discuss our experience of specifying and monitoring a number of properties from three existing applications.",,10.1109/TSC.2009.16,,,,Monitoring;Web services;Automata;Runtime;Unified modeling language;Data mining;Probability density function;Nondeterministic finite automata;runtime monitoring;sequence diagrams;temporal logic patterns;Web service conversations.,,1939-1374,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Verifying conformance between Web service choreography and implementation using learning and model checking,"Pacharoen, Warawoot and Aoki, Toshiaki and Bhattarakosol, Pattarasinee and Surarerks, Athasit",,2011,IEEE Digital Library,375-381,2,"A conformance problem between Web service choreography and orchestration has attracted much interest in the research field of Web service composition. A number of formal languages have been proposed for describing both choreography and orchestration. Moreover, various notions of conformance between them have been formally defined. In most of the earlier works, however, it is assumed that the internal structures of implemented orchestration are explicit. It may not always be the case, such as the Web services implemented in. NET or Java. In this paper, we have investigated an alternative approach for verifying a conformance between choreography and the implementation whose only external behavior can be observed. We use an adapted version of Angluin's algorithm to infer a Mealy machine from the implemented Web service. By transforming the Mealy machine to the modeling formalism LTS, the model checker LTSA can be used for checking the conformance criterion in our framework.",,,,,,Analytical models;Business;Machine learning;Inference algorithms;Algorithm design and analysis;Service oriented architecture;Web service composition;Choreography;Conformance verification;Learning algorithm;Model checking,,,,,UNCLASSIFIED,,
Formalizing exception handling in WS-CDL and WS-BPEL for conformance verification,"Yeung, W. L.",,2009,IEEE Digital Library,1-8,,"We have previously developed a formal approach to verifying conformance for Web services choreography based on the formalism of Communicating Sequential Processes (CSP). In this paper, we extend the approach to cover exception handling, which is commonly used in specifying the choreography as well as orchestration of Web services. In particular, we show how timeout exceptions and message events are handled in the formal approach and illustrate it using a document ordering and delivery process as an example.",,10.1109/SOCA.2009.5410265,,,,Web services;Automata;Service oriented architecture;Information systems;Software libraries;Petri nets;Algebra;Document handling;Parallel programming;Unified modeling language;WS-CDL;WS-BPEL;exception handling;conformance,,2163-2871,,,UNCLASSIFIED,,
Conformance Checking and QoS Selection Based on CPN for Web Service Composition,"Chen, Liping and Ha, Weitao",,2017,IEEE Digital Library,273-276,,"The development of new services by composition of existing ones has gained considerable momentum as a means of integrating heterogeneous applications and realizing business collaborations. In this paper we use skyline computation to select services for composition efficiently, reducing the number of candidate services to be considered. Then a novel color Petri net model of Web service composition is presented that combines QoS-based optimal service selection and consistence verification. In the model we define aggregation functions, and use a Multiple Attribute Decision Making approach for the utility function to achieve optimal services selection of QoS properties. We also propose a consistence verification approach to identify potential logical inconsistence of the semantic Web service process before the deployment. Proofs are also presented. We evaluate our approach experimentally using both real and synthetically generated datasets.",,10.1109/CIS.2017.00066,,,,Web services;Quality of service;Color;Databases;Petri nets;Reliability;Service Composition;Web Service Selection;Skyline;QoS Optimization;Web Service Consistence Verification,,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Services-oriented dynamic reconfiguration framework for dependable distributed computing,"Tsai, W.T. and Weiwei Song and Paul, R. and Zhibin Cao and Hai Huang",,2004,IEEE Digital Library,554-559 vol.1,,"Recently service-oriented architecture (SOA) has received significant attention and one reason is that it is potentially survivable as services are located, bound, and executed at runtime over the Internet. However, this is not enough for dependable computing because the system must also be able to reconfigure once a system failure or overload is detected, and this reconfiguration must be done in real-time at runtime with minimum disruption to the current operation. This work presents reconfiguration requirements for building dependable SOA, and proposes a dynamic reconfiguration framework based on distributed monitoring, synchronization, and runtime verification with distributed agents.",,10.1109/CMPSAC.2004.1342894,,,,Distributed computing;Computer applications;Application software,,0730-3157,,,UNCLASSIFIED,,
Understanding Architecture Erosion: The Practitioners’ Perceptive,"Li, Ruiyin and Liang, Peng and Soliman, Mohamed and Avgeriou, Paris",,2021,IEEE Digital Library,311-322,,"As software systems evolve, their architecture is meant to adapt accordingly by following the changes in requirements, the environment, and the implementation. However, in practice, the evolving system often deviates from the architecture, causing severe consequences to system maintenance and evolution. This phenomenon of architecture erosion has been studied extensively in research, but not yet been examined from the point of view of developers. In this exploratory study, we look into how developers perceive the notion of architecture erosion, its causes and consequences, as well as tools and practices to identify and control architecture erosion. To this end, we searched through several popular online developer communities for collecting data of discussions related to architecture erosion. Besides, we identified developers involved in these discussions and conducted a survey with 10 participants and held interviews with 4 participants. Our findings show that: (1) developers either focus on the structural manifestation of architecture erosion or on its effect on run-time qualities, maintenance and evolution; (2) alongside technical factors, architecture erosion is caused to a large extent by non-technical factors; (3) despite the lack of dedicated tools for detecting architecture erosion, developers usually identify erosion through a number of symptoms; and (4) there are effective measures that can help to alleviate the impact of architecture erosion.",,10.1109/ICPC52881.2021.00037,,,,Computer architecture;Tools;Maintenance engineering;Software systems;Interviews;Architecture Erosion;Online Developer Communities;Survey;Interview;Empirical Study,,2643-7171,,,UNCLASSIFIED,,
Conformance Checking and QoS Optimizing of Web Service Composition,"Zhang, Guojun",,2013,IEEE Digital Library,784-787,,"Due to the inherent autonomy and heterogeneity of component Web services it is difficult to predict the behavior of the overall composite service. Besides, the performance of the composed application is determined by the performance of the involved component web services. Therefore, the behavior conformance and non-functional quality of service (QoS) properties are crucial for selecting the web services to take part in the composition. The behavior conformance of component services is the guarantee of the correctness of Web service composition, and QoS properties can identify the best candidate web services from a set of functionally-equivalent services. In this paper, two formal judgmental rules are presented, which check conformance of local behavior of every component service to global interaction. We also use skyline computation to select services for composition effectively and efficiently, reducing the number of candidate services to be considered. We also define aggregation functions, and use a Multiple Attribute Decision Making approach for the utility function to achieve Qos-based optimal service selection. We evaluate our approach experimentally using both real and synthetically generated datasets.",,10.1109/CIS.2013.171,,,,Quality of service;Business;Semantics;Educational institutions;Service-oriented architecture;Grammar,,,,,UNCLASSIFIED,,
A conformance review strategy for regulating safety-critical software,"Jetley, Raoul P.",,2006,ACM Digital Library,,,"Safety is an important concern for software used in life-critical systems such as air transport, nuclear power and medical devices. The critical nature of these systems necessitates that the software used therein be reliable and free of errors. It becomes imperative, therefore, to have a stringent review process in place to ascertain the correctness of the software and to ensure that it meets all requirements and standards. Regulatory agencies encourage the use of formal methods-based techniques in the development of safety critical software. However, most manufacturers are reluctant to use these techniques, citing them as too complex and time consuming. As a result, (potentially life-threatening) errors are often not discovered until the software is already on the market. When such an error is eventually discovered, it becomes essential to trace the failure to its exact source in the implementation and to assure that the error correction restores the overall safety and effectiveness of the device. In this dissertation, we present how efficient premarket and postmarket conformance reviews of designs and implementations can be carried out using formal methods-based techniques, to enable the process of reviewing software in safety-critical devices. To facilitate premarket conformance reviews, we introduce the notion of  usage models,  standardized formal models that serve as design templates. We present an approach to conformance checking of safety-critical software through formal verification and automated test case sequences derived from these usage models. To provide for efficient postmarket reviews, we establish a methodology based on integrating program slicing with model abstraction to trace software failures to their root cause. We formalize this methodology by presenting an iterative algorithm for  abstraction-driven slicing,  and realize this algorithm through the implementation of the CAdS---a forensic analysis tool for C programs. We provide case studies involving typical medical device software to illustrate the various concepts involved. We use results from these studies to establish the effectiveness of our proposed approach and compare it to conventional static analysis techniques such as program slicing. We demonstrate how our approach to premarket review is used to uncover safety errors in software implementations and show how abstraction-driven slicing can be used to improve the efficiency of postmarket reviews by up to 30%.",,,,,,,North Carolina State University,,,AAI3249688,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Exercising control over the design of evolving software systems using an inverse application of reflexion modeling,"Gear, Andrew Le and Buckley, Jim",,2006,ACM Digital Library,37–es,,"A software designer often has little control over, or a means of checking, whether his design is being adhered to once implementation begins. This 'architectural drift,' where the original design and the design of the implemented system diverge can cause serious problems for evolution, maintenance and the comprehensibility of a system if it remains undocumented. The earlier such discrepancies can be identified the better. This paper proposes a process for design control based on an inverted use of a design recovery technique called Reflexion Modeling that allows the software designer to enforce his design decisions during the implementation phase of the software engineering process.A large industrial case study of the development of an IBM system called DAP is used to demonstrate the effectiveness of the process. Based on a comparison between the old implementation of DAP and the new version, our findings suggests that better design control is achievable using our inverse Reflexion Modeling approach. This is because, during the case study our process revealed violations in the design of DAP. These were captured early and marked for correction. The violations were present in spite of the fact that the architect and implementer of the system was the same person. This indicates that design violations are very easily introduced and often unintentional, particularly in larger team-development contexts.Another measure of the value of the approach is the uptake of the tool by others in the organization. This has been quite rapid, with up to 15 installations since this work began. The next step will be to monitor several more iterations of the design control process and report upon the results of this new data.",,10.1145/1188966.1189016,https://doi.org/10.1145/1188966.1189016,,,,IBM Corp.,,,,UNCLASSIFIED,,
"Focus: A Light-Weight, Incremental Approach to Software Architecture Recovery and Evolution","Ding, Lei and Medvidovic, Nenad",,2001,ACM Digital Library,191,,"During the past decade, object-orientation (OO) has become the dominant software development methodology, accompanied by a number of modeling notations, programming languages, and development environments. OO applications of today are increasingly complex and user-driven. They are also developed more rapidly and evolved more frequently than was the case with software systems of the past. All of these factors contribute to a plethora of potential problems when maintaining and evolving an OO application. These problems are caused by architectural erosion, where the initial architecture of an application is (arbitrarily) modified to the point where its key properties no longer hold. We propose an approach, called Focus, whose goal is to enable effective evolution of such an application with minimal effort, by recovering its architecture and using it as the basis of evolution. Focus allows engineers to direct their primary attention to the part of the system that is directly impacted by the desired change; subsequent changes will incrementally uncover additional parts of the system's architecture. We have applied Focus to four off-the-shelf applications to date. We discuss its key strengths and point out several open issues that will frame our future work.",,10.1109/WICSA.2001.948429,https://doi.org/10.1109/WICSA.2001.948429,,,"GUI, OO, Software architecture, evolution, recovery",IEEE Computer Society,,,,UNCLASSIFIED,,
TomTom for Business Process Management (TomTom4BPM),"Aalst, Wil M.",,2009,ACM Digital Library,2–5,,"Navigation systems have proven to be quite useful for many drivers. People increasingly rely on the devices of TomTom and other vendors and find it useful to get directions to go from A to B, know the expected arrival time, learn about traffic jams on the planned route, and be able to view maps that can be customized in various ways (zoom-in/zoom-out, show fuel stations, speed limits, etc.). However, when looking at business processes, such information is typically lacking. Good and accurate ""maps"" of business process are often missing and, if they exist, they tend to be restrictive and provide little information. For example, very few business process management systems are able to predict when a case will complete. Therefore, we advocate more TomTom-like functionality for business process management (TomTom4BPM). Process mining will play an essential role in providing TomTom4BPM as it allows for process discovery (generating accurate maps), conformance checking (comparing the real processes with the modeled processes), and extension (augmenting process models with additional/dynamic information).",,10.1007/978-3-642-02144-2_2,https://doi.org/10.1007/978-3-642-02144-2_2,,,,Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Predicting Emergent Properties of Component Based Systems,"Bhattacharya, Sutirtha and Perry, Dewayne E.",,2007,ACM Digital Library,41–50,,"Software Product Lines (SPL), Component Based Software Engineering (CBSE) and Commercial Off the Shelf (COTS) components provide a rich supporting base for creating software architectures. Further, they promise significant improvements in the quality of software configurations that can be composed from prebuilt components. Software architectural styles provide a way for achieving a desired coherence for such component-based architectures. This is because the different architectural styles enforce different quality attributes for a system. If the architectural style of an emergent system could be predicted in advance, the System Architect could make necessary changes to ensure that the quality attributes dictated by the system requirements were satisfied before the actual system was deployed. In this paper we propose a model for predicting architectural styles, and hence the quality attributes, based on use cases that need to be satisfied by a system configuration. Our technique can be used to determine stylistic conformance and hence indicate the presence or absence of architectural drift.",,10.1109/ICCBSS.2007.25,https://doi.org/10.1109/ICCBSS.2007.25,,,,IEEE Computer Society,,,,UNCLASSIFIED,,
Model-Driven Evolution of Software Architectures,"Graaf, Bas",,2007,ACM Digital Library,357–360,,"This paper gives an overview of a Ph.D.-project that investigates approaches to support the evolution of software architectures. Particularly, we focus on the use of model-driven techniques in the context of software product-lines. We recognise four tasks related to software evolution: evaluation, conformance checking, migration, and documentation. We propose model-driven solutions for these tasks. By their application in industrial case studies we investigate the extent to which the evolution tasks can be automated, the impact of the use of software product lines, and the possibilities and difficulties to integrate these solutions in industrial practice.",,10.1109/CSMR.2007.35,https://doi.org/10.1109/CSMR.2007.35,,,,IEEE Computer Society,,,,UNCLASSIFIED,,
Verifying Protocol Conformance Using Software Model Checking for the Model-Driven Development of Embedded Systems,"Moffett, Yann and Dingel, Juergen and Beaulieu, Alain",IEEE Trans. Softw. Eng.,2013,ACM Digital Library,1307–13256,39,"To facilitate modular development, the use of state machines has been proposed to specify the protocol (i.e., the sequence of messages) that each port of a component can engage in. The protocol conformance checking problem consists of determining whether the actual behavior of a component conforms to the protocol specifications on its ports. In this paper, we consider this problem in the context of the model-driven development (MDD) of embedded systems based on UML 2, in which UML 2 state machines are used to specify component behavior. We provide a definition of conformance which slightly extends those found in the literature and reduce the conformance check to a state space exploration. We describe a tool implementing the approach using the Java PathFinder software model checker and the MDD tool IBM Rational RoseRT, discuss its application to three case studies, and show how the tool repeatedly allowed us to find unexpected conformance errors with encouraging performance. We conclude that the approach is promising for supporting the modular development of embedded components in the context of industrial applications of MDD.",,10.1109/TSE.2013.14,https://doi.org/10.1109/TSE.2013.14,,,"Component-based software engineering, Context, Java, Ports (Computers), Protocols, Safety, Software, Unified modeling language, behavioral interface specifications, formal specification and verification, model-driven development, software model checking, software modeling",IEEE Press,0098-5589,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Automated extraction and checking of property models from source code for robot swarms,"Merlo, Ettore and Pinciroli, Carlo and Panerati, Jacopo and Famelis, Michalis and Beltrame, Giovanni",,2023,ACM Digital Library,47–54,,"As robots become a common presence in our everyday lives, ensuring the security and safety of robotic systems becomes an increasingly important and urgent challenge. Multi-robot systems, in particular, have the potential to revolutionize multiple industries---such as transportation and home care---where safety guarantees are a primary requirement. A known challenge for swarms and multi-robot systems is the gap between requirements and design, due to the need to translate swarm-level objectives into robot-level behaviors. In this paper, we focus on a less studied problem---the gap between requirements and implementation. As a case study, we use Buzz, that is a dynamic programming language designed for swarm robotics applications. Similarly to Python, Lua, and JavaScript, Buzz does not natively offer formal guarantees of correctness or safety. We propose an approach to automatically extract ""as-implemented"" models from Buzz programs, whose properties can then be formally analyzed and verified. Results obtained from the experiments performed on two medium-size open-source production-level systems for robotics research have also been reported. Our results show that the approach is feasible and is scalable to larger systems.",,10.1145/3526071.3527516,https://doi.org/10.1145/3526071.3527516,,,"domain-specific languages, model checking, model extraction, safety, software engineering, swarm robotics",Association for Computing Machinery,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Automated procedure clustering for reverse engineering PL/SQL programs,"Altιnι\c{s}ιk, Metin and S\""{o}zer, Hasan",,2016,ACM Digital Library,1440–1445,,"PL/SQL programs are mainly composed of procedures that interact with a database. These procedures are grouped into packages at the architecture design level for increasing modularity and maintainability. However, the intended modular structure is subject to architectural drift especially for large scale programs that are maintained for a long duration. Existing reverse engineering and refactoring techniques cannot be directly applied for these programs. Unlike other programs, PL/SQL programs involve procedures that are in most cases indirectly coupled due to their database operations. In this paper, we provide an approach and a tool that support reverse engineering and refactoring of PL/SQL programs. We analyze dependencies among PL/SQL procedures based on the accessed database elements. We represent these dependencies in the form of a design structure matrix. Then, we cluster the procedures and propose a packaging structure to the designer. We performed an industrial case study from the telecommunications domain. We observed promising results in which several unexisted packages were proposed by our tool and the accuracy of the results were approved by domain experts.",,10.1145/2851613.2851781,https://doi.org/10.1145/2851613.2851781,,,"PL/SQL programs, industrial case study, module clustering, refactoring, reverse engineering",Association for Computing Machinery,,,,UNCLASSIFIED,,
"MADDC: Multi-Scale Anomaly Detection, Diagnosis and Correction for Discrete Event Logs","Wang, Xiaolei and Yang, Lin and Li, Dongyang and Ma, Linru and He, Yongzhong and Xiao, Junchao and Liu, Jiyuan and Yang, Yuexiang",,2022,ACM Digital Library,769–784,,"Anomaly detection for discrete event logs can provide critical information for building secure and reliable systems in various application domains, such as large scale data centers, autonomous driving, and intrusion detection. However, the task is very challenging due to the lack of a clear understanding and definition of anomaly in the specific problem space, and the log data is often highly complex with temporal correlation. Existing deep learning based methods mostly suffer from such issues as overfitting, uncertainty or low interpretability; consequently, the detection results may be inaccurate, with little information to help security analysts diagnose the reported anomalies with high confidence. To tackle this challenge, in this research, we propose a general framework named MADDC, which aims to (1) accurately perform Multi-scale Anomaly Detection, Diagnosis and Correction for discrete event logs, and (2) help analysts further mitigate anomalies based on diagnosis results. Specifically, we first design a new anomaly critic for LSTM variational autoencoder based model to alleviate overfitting and reduce false negatives during anomaly detection. As one of our main contributions, we then introduce process mining technique to build process-centric workflow models in an unsupervised manner, which forms the ‘normal’ context of an event sequence and help perform accurate and consistent anomaly diagnosis through global sequence alignment. Experiments on publicly available datasets show that MADDC not only outperformed several representative methods in terms of detection accuracy, but also could improve the visibility to abnormal deviations from normal execution, hence helping security analysts understand anomalies and make further corrections.",,10.1145/3564625.3567972,https://doi.org/10.1145/3564625.3567972,,,"Anomaly Detection, Anomaly Diagnosis, Deep Learning, Discrete Event Log",Association for Computing Machinery,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
"Microservice Security Metrics for Secure Communication, Identity Management, and Observability","Zdun, Uwe and Queval, Pierre-Jean and Simhandl, Georg and Scandariato, Riccardo and Chakravarty, Somik and Jelic, Marjan and Jovanovic, Aleksandar",ACM Trans. Softw. Eng. Methodol.,2023,ACM Digital Library,,32,"Microservice architectures are increasingly being used to develop application systems. Despite many guidelines and best practices being published, architecting microservice systems for security is challenging. Reasons are the size and complexity of microservice systems, their polyglot nature, and the demand for the continuous evolution of these systems. In this context, to manually validate that security architecture tactics are employed as intended throughout the system is a time-consuming and error-prone task. In this article, we present an approach to avoid such manual validation before each continuous evolution step in a microservice system, which we demonstrate using three widely used categories of security tactics: secure communication, identity management, and observability. Our approach is based on a review of existing security guidelines, the gray literature, and the scientific literature, from which we derived Architectural Design Decisions (ADDs) with the found security tactics as decision options. In our approach, we propose novel detectors to detect these decision options automatically and formally defined metrics to measure the conformance of a system to the different options of the ADDs. We apply the approach to a case study data set of 10 open source microservice systems, plus another 20 variants of these systems, for which we manually inspected the source code for security tactics. We demonstrate and assess the validity and appropriateness of our metrics by performing an assessment of their conformance to the ADDs in our systems’ dataset through statistical methods.",,10.1145/3532183,https://doi.org/10.1145/3532183,,,"Microservice architecture, microservice security, software architecture metrics, software architecture detectors",Association for Computing Machinery,1049-331X,,,UNCLASSIFIED,,
Co-evolution of component-based architecture-model and object-oriented source code,"Langhammer, Michael",,2013,ACM Digital Library,37–42,,"With the evolution of software systems, architecture model and system implementation tend to drift apart. While suitable architecture model supports architects and developers in better understanding the software system, the missing synchronization to source code of the underlying implementation can result in outdated architecture models. In this paper, we address two challenges in today's architecture-driven software development: architecture drift and architecture erosion. We introduce a co-evolution approach of a component-based architecture model and object-oriented source code. Our novel approach supports software architects and software developers by introducing a tight and continuous synchronization of a component-based architecture model and the source code. To get architecture evolution under control, our co-evolution approach maps architecture changes done via the source code to the architecture model and vice versa. This explicit support of changes and refactorings at architecture-level prevents unintended architecture violations. In order to evaluate our approach, we plan different case studies whose layout is designed in the evaluation section.",,10.1145/2465498.2465504,https://doi.org/10.1145/2465498.2465504,,,co-evolution,Association for Computing Machinery,,,,UNCLASSIFIED,,
Type-Safe Dynamic Placement with First-Class Placed Values,"Zakhour, George and Weisenburger, Pascal and Salvaneschi, Guido",Proc. ACM Program. Lang.,2023,ACM Digital Library,,7,"Several distributed programming language solutions have been proposed to reason about the placement of data, computations, and peers interaction. Such solutions include, among the others, multitier programming, choreographic programming and various approaches based on behavioral types. These methods statically ensure safety properties thanks to a complete knowledge about placement of data and computation at compile time. In distributed systems, however, dynamic placement of computation and data is crucial to enable performance optimizations, e.g., driven by data locality or in presence of a number of other constraints such as security and compliance regarding data storage location. Unfortunately, in existing programming languages, dynamic placement conflicts with static reasoning about distributed programs: the flexibility required by dynamic placement hinders statically tracking the location of data and computation.   In this paper we present Dyno, a programming language that enables static reasoning about dynamic placement. Dyno features a type system where values are explicitly placed, but in contrast to existing approaches, placed values are also first class, ensuring that they can be passed around and referred to from other locations. Building on top of this mechanism, we provide a novel interpretation of dynamic placement as unions of placement types. We formalize type soundness, placement correctness (as part of type soundness) and architecture conformance. In case studies and benchmarks, our evaluation shows that Dyno enables static reasoning about programs even in presence of dynamic placement, ensuring type safety and placement correctness of programs at negligible performance cost. We reimplement an Android app with ∼ 7 K LOC in Dyno, find a bug in the existing implementation, and show that the app's approach is representative of a common way to implement dynamic placement found in over 100 apps in a large open-source app store.",,10.1145/3622873,https://doi.org/10.1145/3622873,,,"Distributed Programming, Dynamic Placement, Multitier Programming, Placement Types, Scala, Union Types",Association for Computing Machinery,,,,UNCLASSIFIED,,
